	ProxStylo_M7_3mo	ProxStylo_M8_3mo	ProxStylo_M9_3mo	DistStylo_M7_3mo	DistStylo_M8_3mo	DistStylo_M9_3mo	Elbow_M7_3mo	Elbow_M8_3mo	Elbow_M9_3mo	ProxZeugo_M7_3mo	ProxZeugo_M8_3mo	ProxZeugo_M9_3mo	DistZeugo_M7_3mo	DistZeugo_M8_3mo	DistZeugo_M9_3mo	Auto_M7_3mo	Auto_M8_3mo	Auto_M9_3mo	Digit1_M7_3mo	Digit1_M8_3mo	Digit1_M9_3mo	Digit2_M7_3mo	Digit2_M8_3mo	Digit2_M9_3mo	Digit3_M7_3mo	Digit3_M8_3mo	Digit3_M9_3mo	Digit4_M7_3mo	Digit4_M8_3mo	Digit4_M9_3mo	Digit5_M7_3mo	Digit5_M8_3mo	Digit5_M9_3mo 
Rhag	130.56	131.67	117.81	45.28	56.36	70.11	161.47	217.61	12.67	27.14	35.34	7.57	38.36	24.6	5.18	0	3	0	0	0	0	0	0	0	4.55	1.43	0	0	4.54	3.92	0	0.94	0
Fam180a	6.28	8.28	18.42	13.86	13.47	12.98	8.54	14.15	18.36	26.18	20.85	17.04	27.88	16.57	30.07	11.39	11.39	18.54	16.66	7.34	6.32	15.39	4.71	7.87	10.07	4.7	1.87	17.6	0	13.73	2.95	10.48	1.89
Gjb6	0	3.68	10.24	0	0	25.97	1.9	7.96	35.76	4.85	0	0	2.94	0	18.66	13.83	67.62	39.73	31.81	123.34	74.02	28.46	116.6	85.56	112.27	133.73	87.99	20.37	98.88	78.48	29.49	90.51	72.81
4930579G24Rik	30.34	48.25	36.29	29.64	31.07	27.54	47.31	46.57	37.03	34.09	27.8	44.54	18.51	71.57	35.13	28.18	42.41	33.37	32.87	40.59	52.42	37.98	26.46	39.35	33.16	61.95	51.62	45.46	37.72	39.5	47.57	26.31	55.86
4930564D02Rik	0	0	0	0	0	0	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pclo	2.09	3.68	4.09	6.47	2.52	2	3.8	0.88	4.83	10.66	4.81	7.57	5.87	6.61	8.29	4.91	7.12	6.18	3.04	11.75	6.32	3.08	5.89	2.95	0	17.65	0	8.33	10.35	0.98	1.47	0.95	2.84
Dynlt1f	26.03	12.71	24.28	2.98	2.3	13.08	15.68	5.79	23.34	16.23	25.54	20.85	21.26	0	7.17	12.69	28.97	2.09	15.55	3.87	11.04	0.94	7.29	18.49	18.75	2.48	13.67	14.35	12.01	2.27	16.25	0	4.24
Tdrd1	0	0	0	0	0.86	2.02	0.96	0	5.94	1.76	1.43	0	0	0	2.24	0.99	4.18	0	3.63	5.73	5.17	0.98	5.36	7.09	7.12	2.43	3.77	0	2.37	0	1.49	1.91	11.5
Brap	178.87	160.14	170.94	189	143.91	200.75	153.7	176.92	202.01	160.93	149.19	206.4	239.95	237.01	278.9	176.54	244.87	235.71	216.58	301.75	287.95	252.52	248.58	290.11	265.58	229.33	234.02	227.82	306.97	248.19	233.01	265.82	257.19
Cdpf1	32.43	20.25	22.52	18.48	29.46	20.97	16.13	15.04	23.2	28.11	36.9	58.7	12.47	9.94	20.74	24.41	17.08	10.59	18.17	19.09	14.44	19.23	15.31	20.65	27.87	16.46	18.72	33.34	39.09	9.81	17.7	25.72	49.17
Pex26	29.29	42.34	17.4	20.33	23.57	37.95	22.77	30.08	30.93	18.42	19.25	34.08	33.02	34.81	54.95	22.78	30.61	35.31	49.22	46.99	50.55	37.7	64.78	64.91	59.62	43.51	46.8	25.93	47.14	41.2	38.34	44.78	53.9
Nptx1	1.05	0	2.05	3.72	1.68	1	5.69	4.42	0	2.91	3.21	1.89	2.94	0	0	4.88	12.1	9.71	2.27	11.76	8.12	1.54	17.67	8.06	17.85	22.89	11.49	3.7	10.55	10.79	4.42	12.87	22.69
Taar4	0	0	0	0	0.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem50a	456.54	486.38	354.11	462.41	416.42	421.88	473.19	478.12	465.18	440.72	393.67	398.99	554.33	554.64	699.9	560.33	600.33	629.96	564.15	569.4	526.33	598.06	541.57	550.92	633.1	612.78	620.78	521.48	637.49	603.45	664.63	642.53	551.38
Nhlrc2	35.57	50.62	35.83	38.81	47.13	31.96	30.36	30.96	26.1	37.81	48.13	32.19	41.09	29.83	44.58	58.57	59.79	64.44	37.11	55.06	40.62	37.7	60.07	40.32	53.43	37.63	53.36	34.27	56.34	43.16	58.99	38.11	63.35
Gm19402	0	0	2.78	0	0	4.99	0	0	9.45	0	0	0	0	0	0	0	5	12.78	0	2.23	5.48	0	7.51	0	13.05	2.82	0	0	0	4.98	0	21.22	10.04
Neurod6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4gnt	0	0.92	3.07	2.77	0	3	1.9	7.08	9.67	1.94	8.02	11.36	5.87	6.63	0	4.07	3.56	0	0	1.47	0	3.08	2.36	7.87	1.55	4.7	0	10.19	1.15	1.96	2.95	0	0
Erc1	132.55	107.65	149.84	157	160.17	181.02	152.43	133.65	159.61	129.71	201.84	154.59	116.16	80.96	166.25	157.74	148.07	155.48	127.99	127.58	117.29	102.89	131.16	57.19	120.66	136.23	108.42	113.63	87.84	116.61	57.26	109.64	90.66
St14	165.28	62.58	87.01	78.55	53.87	134.83	60.72	113.23	222.88	144.33	70.58	64.38	135.75	139.22	363.91	149.69	301.81	275.43	165.08	356.81	371.9	205.4	217.89	300.93	208.29	243.42	151.64	141.69	203.5	194.24	150.42	304.52	356.48
Hist1h2bh	0	0	0	2.11	0	2.88	0	3.61	8.43	0	0	0	0	2.47	0	17.92	0	0	0	0	6.47	7.07	0	0	0	0	0	7.59	4.98	6.23	0	25.1	0
Nudt19	73.22	79.15	83.93	73	85.01	89.89	37	66.35	61.86	63.98	121.92	73.85	51.36	84.53	35.25	47.18	19.22	39.73	38.62	43.32	43.1	23.85	41.22	25.57	40.26	43.51	20.59	41.67	26.44	51.99	29.49	26.68	49.17
Synj1	91.01	101.24	106.45	100.72	96.79	124.85	159.39	150.38	98.59	98.89	80.21	73.85	124.74	69.61	70.5	126.1	115.32	117.41	83.3	114.53	112.83	71.55	109.53	77.69	120.74	121.13	140.43	97.24	113.82	97.12	115.03	78.13	62.41
Cfhr2	0	0	0	0	0.95	0	0	0	0	0	0	0	1.61	0	3.4	0	0	0	0	3.38	0	0	1.02	0	0.9	1.23	0	0	3.07	0	0	0	0
Klrb1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pigf	11.51	15.65	13.31	9.24	6.73	17.98	14.23	11.5	7.73	6.79	25.67	11.36	8.81	19.89	26.96	13.83	44.84	17.66	15.9	19.09	27.98	14.62	18.84	17.7	10.07	28.22	33.7	22.23	25.29	27.47	29.49	12.39	19.86
4931429L15Rik	0	0	0	0.14	0.68	3	0	3.54	0.97	0	6.37	1.89	1.45	4.97	4.15	1.83	0	3.66	0	2.28	0.96	0	0	0	2.26	5.74	0	0	1.15	0	0	3.81	1.89
Prdx6	170.51	163.82	153.54	151.55	154.75	150.81	127.13	196.26	167.21	160.93	147.59	221.54	137.21	182.31	108.86	113.08	167.99	173.91	143.88	199.7	143.52	153.86	187.29	190.78	186.61	262.26	199.38	129.65	226.49	193.19	159.27	155.3	165.54
BC048671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ninj1	32.43	20.25	23.54	19.41	15.99	9.99	18.98	28.31	13.53	20.36	17.65	15.15	15.41	16.57	10.37	32.54	24.2	45.02	56.04	38.18	32.5	23.85	38.87	23.6	22.45	17.64	22.47	36.12	17.25	28.45	32.44	21.91	16.07
Ikzf5	133.89	127.93	131.02	132.14	154.87	156.79	155.6	139.77	137.13	132.22	142.77	196.93	145.15	155.79	75.69	148.06	167.9	169.5	123.18	153.44	158.91	126.94	141.33	131.78	192.03	139.95	231.47	113.91	157.51	167.75	147.47	181.98	170.2
Gm5127	0	1.84	0	2.77	0	0	0.95	1.77	0	0	3.21	9.47	3.67	1.66	6.22	3.25	3.56	2.65	0.76	0	0	3.08	5.89	0.98	2.32	2.35	0.94	0.93	3.45	8.82	1.47	0	0
Mycbp	46.08	36.81	48.11	36.96	47.97	37.95	24.67	42.92	43.49	53.32	64.92	75.74	51.36	23.2	18.66	41.49	66.91	42.37	27.26	49.19	18.96	19.23	30.62	47.2	50.33	50.57	21.53	42.6	68.98	65.73	30.97	64.79	36.88
Igfbpl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93	0	0	0	0	0
Tab3	142.26	120.57	134.09	116.43	101	138.83	141.37	147.42	131.45	132.82	126.73	149.59	137.95	137.56	152.41	96.81	158.02	140.05	110.56	191.62	141.72	132.32	96.58	181.93	154.86	114.08	106.71	134.28	98.88	138.1	109.13	155.3	206.94
Tprg	3.14	0	7.17	3.7	2.52	9.99	1.9	10.62	12.56	23.27	1.6	5.68	11.01	4.97	12.44	4.88	20.64	30.02	12.12	63.87	30.69	7.69	36.51	16.72	36.39	52.92	29.95	14.82	57.49	34.34	7.37	46.69	42.55
Nmral1	8.37	25.77	19.45	17.56	11.78	8.99	18.04	17.69	20.3	12.6	14.44	1.89	8.07	11.6	15.55	10.58	27.76	7.95	12.12	15.42	9.93	8.46	5.89	13.77	4.65	4.7	12.17	20.37	4.6	3.92	4.42	14.29	9.46
Dnttip1	26.15	41.42	44.01	22.18	25.25	39.95	37.95	24.77	18.36	39.75	33.69	9.47	38.16	29.83	27.99	32.54	29.18	30.02	40.14	44.05	73.12	27.69	17.67	25.57	45.68	30.53	29.02	21.3	33.34	37.28	33.92	30.49	60.52
Eya4	47.07	37.73	71.65	84.09	75.75	47.94	55.03	61.04	30.41	64.95	128.34	123.08	68.97	71.27	20.74	73.22	12.81	22.95	16.66	2.2	12.64	15.39	5.89	19.67	7.74	14.11	6.55	18.52	5.75	13.73	5.9	0	0.95
Zfand1	60.67	57.98	37.87	43.43	36.19	39.95	34.16	44.23	45.43	62.05	36.9	32.19	51.36	49.72	51.84	45.56	44.13	62.68	74.97	66.81	53.26	81.55	76.55	72.77	62.72	84.67	106.71	75.01	64.38	74.56	54.57	84.8	65.24
Oasl2	88.91	120.67	75.75	83.17	89.21	66.96	99.21	92	46.39	62.05	51.33	17.04	46.23	44.75	44.58	27.66	37.01	38.84	36.35	11.75	6.32	25.39	18.84	19.67	18.58	32.93	8.42	12.97	34.49	9.19	35.39	10.48	9.46
Uggt2	23.01	22.09	28.66	34.09	32.82	28.03	23.72	21.96	27.06	34.9	27.27	17.04	24.21	14.92	9.33	15.46	14.95	14.12	18.93	30.02	9.95	12.35	15.31	15.73	26.33	10.58	18.72	17.6	24.14	12.75	8.85	17.15	5.67
Mylk	391.25	387.47	387.94	409.36	464.59	395.9	462.05	351.19	439.08	475.48	346.51	310.54	384.49	222.09	160.7	218.84	174.46	148.33	244.98	147.57	174.22	216.94	143.69	162.56	204.41	137.6	47.74	267.64	127.62	137.34	294.95	108.99	76.59
Dhdh	319.95	373.48	304.3	325.08	356.72	306.9	213.75	199.09	249.73	265.34	315.48	374.16	147.9	165.85	105	139.88	55.52	40.86	52.4	56.92	25.92	59.94	74.47	64.17	37.76	62.84	59.27	71.96	70.03	53.18	53.31	51.2	36.47
Gbp7	95.02	125.01	116.67	127.34	153.29	122.58	119.44	105.98	59.54	60.34	106.45	45.88	69.63	69.43	54.95	55.14	43.41	37.96	39.08	16.89	24.53	37.36	39.69	8.85	40.26	50.09	43.06	43.97	59.59	16.68	38.34	23.82	33.06
Zfp941	6.33	2.76	1.02	0	2.54	1	4.51	6.96	7.72	3.01	4.81	5.7	0	1.76	4.15	1.59	2.23	0	1.52	0	3.62	5.11	6.68	1	6.2	0	0	9.8	0.41	0.34	1.55	4.76	3.82
Npdc1	129.71	94.8	72.68	67.46	99.31	83.9	65.46	85.81	56.06	92.1	38.5	60.59	106.41	53.04	78.8	105.76	77.59	59.15	110.56	82.23	76.73	120.78	78.91	79.66	88.27	88.2	113.26	92.67	117.27	79.46	78.16	69.55	84.05
Prodh	46.03	58.9	70.63	63.76	54.71	55.93	56.93	48.65	51.23	66.89	46.52	62.49	33.02	57.94	44.58	42.3	49.83	20.3	33.32	35.97	34.3	31.54	64.78	32.45	39.49	37.63	44	25.93	43.69	35.32	20.65	14.29	40.66
Msh4	0	0	0	0	0	0	0	0	0	0.97	0	0	2.2	0	0	0	0	0	1.51	6.61	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdv3	668.43	741.81	848.54	917.13	905.81	904.88	828.26	880.18	979.01	825.01	1283.36	1331.26	692.67	783.94	412.64	672.79	632.81	559.7	492.21	489.96	544.31	516.2	586.53	522.39	495.55	552.74	453.99	529.76	566.81	520.92	548.6	511.63	585.95
Zbtb8a	49.16	30.57	21.79	23.89	24.42	16.92	20.39	14.17	11.67	14.54	20.89	13.25	23	11.62	32.23	17.12	16.09	33.29	40.82	22.2	17.17	31.49	55.1	25.68	39.36	24.8	15.67	23.09	11.21	12.8	35.76	30.5	29.33
Wdr11	131.8	162.9	150.47	191.28	164.96	148.82	136.62	153.92	140.15	164.81	177.95	193.14	148.95	174.03	209.43	152.94	187.92	186.92	151.45	223.19	203.1	146.94	179.02	154.4	209.06	162.29	169.43	188.92	170.16	239.39	148.95	168.64	189.11
Dgat2l6	3.14	1.84	3.07	2.77	0	1	0	0	1.93	5.82	9.63	0	4.4	0	0	0	0	0	2.27	0	0	3.85	0	0	10.84	0	0	7.41	0	0	2.95	3.81	0
2810417H13Rik	150.04	170.62	136.21	109.4	123.42	126.43	197.16	230.69	134.81	102.32	66.98	79.91	121.94	135.41	138.69	105.45	219.32	236.86	206.47	200.73	252.06	184.53	233.99	222.16	137.15	212.11	208.54	220.76	251.68	167.69	310.33	294.64	335.16
Hhip	5.23	2.76	1.02	3.7	0	0	5.69	2.65	1.93	4.85	3.21	0	0.73	3.31	12.44	35.8	51.25	23.84	20.45	34.51	13.54	18.46	3.53	16.72	20.91	17.64	28.08	16.67	16.1	14.72	19.17	19.06	10.4
Ppil1	207.12	238.37	218.03	187.58	209.57	256.55	208.73	344.11	317.99	207.46	280.74	308.65	242.14	273.47	318.3	261.96	454.85	491.72	357.43	287.8	366.49	352.35	451.08	595.64	305.95	366.66	427.78	364.88	401.25	510.12	404.08	480.2	461.69
Sycp2	0	2.76	9.21	0	2.52	2	1.9	3.54	0	0	0	0	0.73	0	0	0	1.42	0	0.76	0.73	0.9	0	0	0	0	0	0	0	0	0.98	0	0	0
Cypt3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cmtm2a	0	1.84	0	1.01	2.52	0	0	0	0	0	0	0	0	0	0	0	2.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kel	84.67	99.4	98.27	43.43	37.03	60.92	132.79	99.08	15.46	9.69	4.81	1.89	19.08	14.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp5g3	707.44	683.83	947.93	999.81	950.26	837.96	820.66	880.18	991.67	934.91	1695.64	1278.16	440.4	488.65	327.63	644.31	316.76	343.41	327.14	289.27	320.45	264.64	295.62	354.03	304.32	296.36	234	226.89	286.28	338.54	320.02	329.01	362.12
Fam83g	35.57	45.1	39.92	23.1	28.62	52.93	50.28	70.77	149.81	86.28	80.21	54.91	134.28	165.74	234.21	143.18	400.76	308.98	238.54	585.14	528.97	264.64	522.93	409.11	415.8	533.97	404.38	175.03	475.98	499.19	230.06	483.05	575.83
Lepr	78.65	75.45	97.06	98.47	80.34	93.58	178.31	133.02	138.4	86.89	80.92	83.73	163.46	149.25	153.29	166.07	182.33	148.38	170.2	165.51	147.31	130.97	133.15	115.07	126.84	92.74	101.69	168.4	80.82	117.95	137.58	96.87	116.86
Ccdc59	30.34	40.5	30.71	41.58	53.02	52.93	42.69	49.54	61.86	15.51	48.13	49.23	30.82	39.78	42.51	67.52	55.52	82.1	30.29	31.57	37.01	35.39	51.82	50.15	51.1	64.68	29.02	65.75	39.09	49.05	70.79	38.11	45.39
Gm757	4.18	0	0	0.92	0	0	0	0	0	0	0	0	1.47	0	0	0	0	0	0	0	0	0	0	4.92	5.42	3.53	0	0	4.6	0	0	0.95	1.89
Krt15	1572.02	1039.39	2108.65	1879.11	1111.27	2129.49	1894.52	3375.26	4116.88	4088.87	3880.87	4746.17	5828.55	7124.51	7523.02	1795.71	3133.15	3056.69	2255.24	2355.04	2628.1	2425.51	2221.5	2593.08	2287	1714.4	2092.35	2499.15	2463.74	2524.54	2050.89	2281.06	2551.54
Trat1	6.28	0	4.09	0.92	3.37	2	0.95	0	0	0.97	0	9.47	1.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abhd17c	212.35	200.64	152.51	109.04	118.67	168.79	127.67	150.38	193.31	110.52	133.15	177.99	154.09	172.37	146.19	127.72	331.71	280.73	251.41	458.13	360.17	228.48	369.82	360.92	329.84	337.52	368.9	191.7	367.91	396.33	237.43	334.42	388.63
Spag11a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Usp50	0	0	0	0.92	0	0	0	0	0	0	3.21	0	0	0	0	0	1.42	0.88	0	1.47	0	0	0	0	1.55	0	0	0	0	0	0	0	0
Col4a3bp	315.91	323.05	304.73	364.54	345.08	331.59	346.3	321.11	293.83	295.69	505.32	391.96	309.65	351.08	218.76	366.09	320.32	317.81	277.16	339.93	217.54	311.24	307.4	271.43	329.85	311.65	307.97	317.65	405.85	318.83	281.67	293.45	285.56
Olfr593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zc3h12a	27.74	27.14	18.8	35.92	41.22	25.6	20.39	28.53	39.05	27.5	29.6	13.37	35.78	23.45	33.33	27.78	38.93	25.61	36.08	35.7	26.03	44.74	44.84	39.55	47.29	30.69	37.62	41.25	35.95	60.94	30	40.8	53.88
Amer2	0	0	0	0	0.84	4.99	0	2.65	0.97	0	0	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0	1.18	0	0	0	0	0	0	1.07
Ccdc82	41.84	59.82	56.3	51.75	45.45	53.93	76.85	81.38	43.49	48.47	33.69	32.19	52.1	31.49	54.95	39.86	61.22	59.15	45.44	33.77	49.65	65.39	56.52	35.4	70.46	68.21	50.55	54.35	63.23	42.18	54.57	61.93	43.5
Golt1a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lrp11	5.23	9.2	11.26	7.39	9.26	10.99	3.8	17.69	10.63	3.88	11.23	7.57	7.34	9.94	0	8.14	0	4.41	4.54	0.73	9.03	6.92	9.42	0	1.55	4.7	0	0.93	8.05	0	0	2.86	0
Dcxr	14.64	12.89	10.24	16.63	8.42	11.99	8.54	2.65	2.9	9.7	6.42	13.25	5.87	16.57	1.04	9.76	9.97	14.12	15.15	14.68	9.88	6.92	2.36	5.9	8.52	4.7	6.55	4.63	16.1	24.53	13.27	22.87	6.62
Sis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1pr1	137.03	146.34	145.45	179.27	207.32	163.8	132.83	101.73	122.75	141.54	85.02	189.35	103.46	72.92	110.94	114.71	67.62	85.63	79.51	35.24	45.13	66.93	55.36	45.24	72.78	61.15	64.59	113.91	78.18	55.92	78.16	28.58	19.86
Ski	423.65	413.24	398.69	431.54	489.83	427.45	526.56	448.49	448.39	504.12	474.81	488.53	641.31	469.04	482.17	684.19	767.42	666.49	678.62	587.35	628.22	785.46	736.1	773.96	664.35	769.13	885.52	687.16	525.79	836.8	744.74	713.92	573.94
Samd4b	62.76	57.98	55.27	57.29	55.46	72.91	55.98	69.88	75.39	85.31	51.33	34.08	69.66	71.27	64.28	69.96	81.86	98.87	71.94	103.52	84.85	76.16	82.44	86.54	98.34	61.15	66.46	43.53	54.04	95.16	110.6	93.37	79.43
Il16	76.36	52.46	64.49	85.01	61.44	46.94	62.62	56.61	46.39	48.47	32.08	15.15	51.36	33.15	59.1	56.95	31.32	50.32	57.55	44.79	47.84	89.24	31.8	51.14	67.36	67.03	54.29	77.79	48.29	44.15	95.86	38.11	39.73
Gal3st4	8.37	3.68	8.19	10.16	9.26	10.99	10.44	15.92	13.53	13.57	20.85	5.68	21.28	38.12	12.44	17.9	23.49	29.13	18.17	44.05	60.48	25.4	44.76	27.54	72.78	71.74	72.08	33.34	100.02	77.5	42.77	60.98	66.19
Tonsl	12.55	17.49	15.35	14.78	14.31	12.98	16.13	23	6.77	9.69	11.23	7.57	18.34	16.57	12.44	10.58	6.41	6.18	12.87	19.82	13.54	3.08	11.78	9.83	17.81	14.11	10.3	16.67	32.19	16.68	8.85	20.01	10.4
Ccdc141	30.34	27.61	29.68	22.18	31.14	32.96	25.62	13.27	25.13	36.84	22.46	15.15	17.61	31.49	3.11	17.9	17.8	12.36	12.87	2.94	7.22	12.31	4.71	5.9	20.13	17.64	17.79	20.37	9.28	24.53	19.17	9.53	9.46
1810013L24Rik	387.04	392.07	429.2	363.16	346.76	456.72	398.48	377.73	346.02	379.06	458.93	526.41	372.75	372.91	254.01	414.09	416.42	302.8	387.72	277.52	296.08	366.23	250.86	335.35	367.33	393.97	323.88	384.33	318.47	339.43	374.58	338.16	396.19
Olfr981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyp2w1	0	0.92	0	0	3.37	1	1.9	0.88	3.87	5.82	3.21	0	5.87	1.66	2.07	2.44	10.68	14.12	9.09	8.81	21.66	9.23	2.36	10.82	6.19	11.76	14.98	3.7	11.5	6.87	4.42	22.87	21.75
Olfr281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atpaf1	74.27	102.16	138.19	126.6	118.7	86.89	76.85	75.19	77.32	93.07	121.92	115.51	47.69	92.81	38.36	56.13	49.12	30.02	36.35	44.79	38.81	39.23	27.04	56.06	39.88	23.52	29.95	37.97	37.94	29.43	35.39	19.06	33.09
Hsd3b7	72.18	73.63	52.2	69.3	44.35	61.92	62.62	43.35	49.29	80.47	48.13	60.59	61.64	69.61	31.1	74.03	50.54	54.73	83.3	28.63	48.74	76.93	70.67	90.48	72.78	76.44	66.46	76.87	81.63	82.4	69.31	73.36	63.35
Mrpl55	48.44	48.78	36.85	48.98	54.71	65.92	50.28	46	68.62	38.78	77	76.99	18.34	26.52	27.99	27.71	35.78	17.66	15.15	22.76	33.4	26.16	12.96	8.85	27.87	41.16	50.55	25	29.89	42.18	22.12	24.77	34.04
Gabarap	200.84	243.9	220.16	213.46	192.74	202.75	157.49	181.39	195.24	174.5	259.88	289.71	176.1	180.65	213.58	196.06	158.02	167.73	146.91	157.85	146.23	194.63	181.88	265.53	161.63	164.64	180.66	161.14	198.83	168.73	202.04	192.46	151.29
Pus7l	14.64	13.81	12.28	15.71	17.67	8.99	15.18	13.27	17.4	7.76	8.02	7.57	14.68	18.23	13.48	14.64	16.37	21.19	15.15	14.68	19.86	12.31	23.56	38.35	27.1	24.7	19.66	17.6	19.55	16.68	28.02	23.82	19.86
AA986860	12.55	5.52	13.31	14.78	4.21	5.99	14.18	23.88	23.2	24.24	20.85	22.72	24.21	34.81	51.84	12.2	84.71	47.67	27.26	110.86	120.96	42.31	61.24	98.34	103.76	94.08	102.97	30.56	77.03	64.75	66.36	118.22	97.39
Aim1	195.61	158.3	194.48	218.08	212.94	262.68	218.21	332.61	455.33	404.99	266.3	242.37	520.24	560.2	795.07	350.83	845.77	809.33	627.78	1166.62	1022.39	643.14	732.16	832.96	809.91	832.63	671.16	646.43	941.62	761.25	613.49	894.64	922.87
Homer3	34.52	24.85	35.83	27.72	22.72	34.96	32.26	33.61	27.06	29.08	20.85	32.19	23.48	24.86	68.43	30.91	38.44	52.97	40.89	35.24	36.11	27.69	16.49	61.96	58.07	25.87	54.29	28.71	13.8	47.09	13.27	43.83	34.99
Gtf2h1	191.4	144.5	196.54	150.89	168.38	163.8	169.83	201.69	184.61	136.69	173.53	195.04	203.99	203.86	237.43	172.47	245.56	212.08	207.49	252.56	262.68	211.67	186.56	196.69	270.23	214.03	258.27	293.57	294.33	213.86	271.35	327.75	246.79
Vmn1r174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nags	2.09	0	0	0	0.84	0	0	0.88	1.93	0	0	1.89	1.47	0	0	0	0	0	0	0	0	4.62	0	0	0	0	0	0	0	0	0	0	0
Nfyc	126.57	124.25	110.55	161.64	132.15	110.86	130.93	117.65	134.35	116.34	136.36	168.53	113.73	120.99	77.76	130.16	131.69	98.87	83.3	121.14	127.28	96.93	98.93	130.8	137.05	96.43	138.54	127.8	120.72	92.21	162.22	101.95	130.56
Atg5	71.13	77.31	45.04	44.35	53.87	55.93	49.34	54	70.56	51.38	60.96	64.38	57.23	114.36	86.05	48	55.52	98.34	64.37	50.66	72.21	58.47	58.89	70.81	66.59	61.15	96.42	59.27	75.88	57.88	98.81	115.97	77.54
Gata2	39.75	71.79	55.27	64.68	53.02	48.94	59.77	42.46	24.16	52.35	36.9	34.08	33.75	36.46	13.48	33.35	13.52	28.25	20.45	33.77	14.44	39.23	35.33	14.75	27.1	24.7	14.98	36.12	28.74	18.64	17.65	19.06	20.8
Taco1	114.02	133.46	179.13	171.55	159.07	136.83	122.38	107.92	87.94	126.03	247.06	162.84	57.23	101.1	43.55	59.39	43.57	44.14	39.38	52.13	62.28	29.23	17.67	31.47	23.23	47.04	37.44	44.44	42.54	58.86	23.6	16.2	36.88
Nek3	12.55	9.2	9.21	4.62	8.42	12.98	16.67	15.92	2.9	9.69	1.6	9.47	5.14	3.31	3.11	5.69	19.22	15.89	9.84	8.81	8.12	14.62	16.49	2.95	17.81	7.06	17.79	23.15	6.9	9.81	8.85	11.43	15.13
Gstp1	90.7	66.4	105.66	109.2	80.76	118.45	79.36	58.91	81.76	88.17	92.43	118.04	46.56	61.85	20.24	52.45	64.78	25.25	41.61	45.52	32.78	42.8	45.01	45.65	36.51	15.23	51.94	56.71	64.38	51.99	64.89	48.91	35.27
Vsig4	1.05	0.92	0	1.85	0	0	8.54	4.42	0.97	0	0	0	4.4	0	3.11	17.08	19.93	19.42	14.39	2.2	8.12	15.39	48.29	30.49	16.26	38.81	42.12	15.74	33.34	24.53	8.85	6.67	9.46
AI747448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abcd1	62.76	80.07	65.51	75.77	69.02	76.9	56.93	65.46	47.36	69.8	75.4	54.91	45.49	23.2	15.55	49.63	35.59	27.37	26.5	18.35	16.25	18.46	20.02	9.83	14.71	31.75	29.95	25	29.89	40.22	32.44	7.62	22.69
Bmp8b	0.93	1.92	0	0	0	2.9	0	3.21	0	0	4.81	0	0	0	0	0.68	0	0	0	0	0	0	0	0	0	0	0	7.17	0	0	0	0.85	0
